epoch,accuracy,loss
0,0.992455780506134,0.02099514752626419
1,0.9971418380737305,0.009781832806766033
2,0.9975345134735107,0.008113198913633823
3,0.9977936148643494,0.007091333623975515
4,0.9980324506759644,0.0063653611578047276
5,0.9982814788818359,0.005673304200172424
6,0.9983968138694763,0.005363063421100378
7,0.9984818696975708,0.005104261916130781
8,0.9985951781272888,0.004686739295721054
9,0.9986518621444702,0.004515739157795906
10,0.998710572719574,0.0042849816381931305
11,0.9987834692001343,0.004216843284666538
12,0.9988300204277039,0.0040689315646886826
13,0.9988178610801697,0.003957019653171301
14,0.9988563060760498,0.003909226972609758
15,0.9988867044448853,0.0037551179993897676
16,0.9989089369773865,0.0037117369938641787
17,0.9989474415779114,0.00361174950376153
18,0.9989858865737915,0.003494690638035536
19,0.9989373087882996,0.0034541040658950806
20,0.9989312291145325,0.00343356397934258
21,0.998945415019989,0.003391337813809514
22,0.9989818334579468,0.0033237366005778313
23,0.9990405440330505,0.0032543307170271873
24,0.9989838600158691,0.0032118416856974363
25,0.9990506768226624,0.003119806991890073
26,0.9990992546081543,0.00315315299667418
27,0.999081015586853,0.003033859422430396
28,0.9990385174751282,0.002965454710647464
29,0.9990830421447754,0.002917991252616048
30,0.9991052746772766,0.0028952835127711296
31,0.9990850687026978,0.002833515638485551
32,0.999129593372345,0.0027718122582882643
33,0.9991356730461121,0.002803647657856345
34,0.9991316199302673,0.0027206188533455133
35,0.9991113543510437,0.0027347668074071407
36,0.9991437792778015,0.002658271696418524
37,0.9991822242736816,0.00256546214222908
38,0.9991801977157593,0.0025826829951256514
39,0.999184250831604,0.0025107532273977995
40,0.9992004632949829,0.002512513194233179
41,0.9991964101791382,0.0024442397989332676
42,0.999216616153717,0.0024134598206728697
43,0.9992247223854065,0.002386370673775673
44,0.9992045164108276,0.002415855647996068
45,0.999232828617096,0.0022986531257629395
46,0.9992854595184326,0.0022627466823905706
47,0.9992510676383972,0.002250740071758628
48,0.9992510676383972,0.002317956881597638
49,0.9992611408233643,0.002172136213630438
50,0.9992692470550537,0.0022234050557017326
51,0.9993279576301575,0.0021217241883277893
52,0.9993036985397339,0.0020967358723282814
53,0.9992955923080444,0.002122300211340189
54,0.9993036985397339,0.002134273760020733
55,0.9993279576301575,0.0020659042056649923
56,0.9993360638618469,0.0020633258391171694
57,0.9993623495101929,0.0019841629546135664
58,0.9993441700935364,0.0019656068179756403
59,0.9993785619735718,0.001970345852896571
60,0.9993643760681152,0.0019038669997826219
61,0.9993502497673035,0.0019253849750384688
62,0.9993643760681152,0.0018506554188206792
63,0.9994251132011414,0.0018171549309045076
64,0.9994210600852966,0.0018536297138780355
65,0.9993805885314941,0.0018488353816792369
66,0.9993623495101929,0.0019057150930166245
67,0.999423086643219,0.0017343891086056828
68,0.9994190335273743,0.0017978486139327288
69,0.9994372725486755,0.001734111807309091
70,0.9994555115699768,0.0017282463377341628
71,0.9994089603424072,0.001685756491497159
72,0.9994372725486755,0.0016792247770354152
73,0.9994514584541321,0.0016633643535897136
74,0.999477744102478,0.0016143360408023
75,0.9994595646858215,0.001613145344890654
76,0.9995081424713135,0.0016128028510138392
77,0.9995121955871582,0.001546363695524633
78,0.9995061159133911,0.0015844876179471612
79,0.9994736909866333,0.001532381516881287
80,0.9994939565658569,0.0015187464887276292
81,0.9995445609092712,0.0015173901338130236
82,0.9995161890983582,0.001510780188255012
83,0.9995101690292358,0.0014342498034238815
84,0.9995061159133911,0.001473206328228116
85,0.9995526671409607,0.0013950607972219586
86,0.9995425343513489,0.001389849348925054
87,0.9995425343513489,0.0014405560214072466
88,0.9995647668838501,0.0013691672356799245
89,0.9995546936988831,0.0013881810009479523
90,0.9995587468147278,0.0014139374252408743
91,0.9995607733726501,0.0013807056238874793
92,0.99952632188797,0.001333310967311263
93,0.999548614025116,0.0013925968669354916
94,0.9995830059051514,0.0013349165674299002
95,0.9995992183685303,0.0012512134853750467
96,0.9995850324630737,0.0012815262889489532
97,0.999580979347229,0.0012596877058967948
98,0.9995850324630737,0.001292215078137815
99,0.9996073246002197,0.0012242301600053906
